industry,stock_count,up_trend_pct,down_trend_pct,b1,b2,b3,formation_score,avg_composite,summary,hot_rank
半导体/光伏,231,4.761904761904762,0.4329004329004329,1,0,5,1.0,0.03916903505874919,★ 强主线，梯队完整，可积极操作,1
电子,362,4.143646408839778,0.2762430939226519,0,0,3,1.0,0.022559424574327164,★ 强主线，梯队完整，可积极操作,2
通信/计算机,201,5.970149253731343,1.4925373134328357,1,0,7,1.0,0.01106327427745262,★ 强主线，梯队完整，可积极操作,3
电力设备,308,4.545454545454546,1.2987012987012987,1,0,2,1.0,0.0031153276260959028,★ 强主线，梯队完整，可积极操作,4
环保/公用,196,5.612244897959184,0.5102040816326531,0,0,0,1.0,-0.01596934120080844,✗ 资金出逃，回避,5
互联网/软件,267,5.617977528089887,1.4981273408239701,1,0,1,1.0,-0.04188202247191011,○ 次主线，有结构但梯队不全，谨慎参与,6
自动化/制造,554,5.234657039711191,0.5415162454873645,1,0,5,0.7,-0.01034512264072511,★ 强主线，梯队完整，可积极操作,7
化工,411,5.839416058394161,0.48661800486618007,1,0,6,0.7,-0.03423360794056905,★ 强主线，梯队完整，可积极操作,8
新能源车/风电,397,4.030226700251889,1.2594458438287155,2,0,3,0.7,-0.037819347471776434,★ 强主线，梯队完整，可积极操作,9
建材,113,3.5398230088495577,0.8849557522123894,0,0,1,0.7,-0.05383185840707965,○ 次主线，有结构但梯队不全，谨慎参与,10
有色/钢铁/煤炭,216,6.481481481481481,0.9259259259259258,1,0,3,0.7,-0.06256259286712416,★ 强主线，梯队完整，可积极操作,11
基建/地产/石油石化,257,3.501945525291829,0.38910505836575876,0,0,0,0.7,-0.0653715953307393,✗ 资金出逃，回避,12
传媒,135,3.7037037037037033,0.0,0,0,0,0.7,-0.07355555555555555,— 无明显方向，观望,13
消费,574,3.3101045296167246,1.2195121951219512,0,0,3,0.7,-0.0787704727359323,★ 强主线，梯队完整，可积极操作,14
金融,119,0.8403361344537815,0.8403361344537815,0,0,2,0.7,-0.11013865546218488,○ 次主线，有结构但梯队不全，谨慎参与,15
医药,480,2.2916666666666665,1.875,1,0,7,0.7,-0.11763278549768055,★ 强主线，梯队完整，可积极操作,16
交运,138,0.0,0.7246376811594203,0,0,1,0.3,-0.0948768115942029,— 无明显方向，观望,17
农业,67,8.955223880597014,1.4925373134328357,0,0,3,0.0,-0.10136468436029969,— 无明显方向，观望,18
军工,73,5.47945205479452,4.10958904109589,0,0,0,0.0,-0.10547945205479453,— 无明显方向，观望,19
